local_name,game_1,game_2,game_3,game_4,game_5,game_6,game_7,game_8,game_9,game_10,,,,,,,,,,,,,,,,,,Other Notes,Last Update
Freaks Smash Dallas,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
Freaks Smash Denton,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
YOMI Anime FGC Denton,GGXrd,GBVSR,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
Freaks Smash Richardson,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
Monday Night Melee,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Suplex,SF6,GGST,GBVSR,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Ultimate Shockwave,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Quickdraw Brawl,UNI,BBCF,P4AU,GBVSR,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Collisions,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Saturday Sets,Tekken,GGST,SF6,MK1,SSBU,GBVSR,,,,,,,,,,,,,,,,,,,,,,"MK1, SSBU, GBVSR are side games",2024.0118
50-50 Fridays,SF6,GBVSR,Mystery,Tekken,UNI,GGST,,,,,,,,,,,,,,,,,,,,,,,2024.0209
The Anime Place (TAP),GGST,MBTL,UNI,BBCF,Tekken,SF6,KOFXV,SC6,Mystery,Others,,,,,,,,,,,,,,,,,,,2024.0118
Saturday Shikomi 1,GGXrd,GBVSR,,,,,,,,,,,,,,,,,,,,,,,,,,Contact for address; 1st Saturday,2024.0118
Saturday Shikomi 2,BBCF,UNI,,,,,,,,,,,,,,,,,,,,,,,,,,Contact for address; 3rd Saturday,2024.0118
Perfect Parry Sanctuary,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
River City Reversal,GGXrd,UMvC3,MK1,GBVSR,,,,,,,,,,,,,,,,,,,,,,,,,2024.0119
River City Rushdown,GGST,UNI,SF6,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
San Antonio Melee,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
San Antonio P+ Saturdays,P+,,,,,,,,,,,,,,,,,,,,,,,,,,,1st Saturday,2024.0118
San Antonio P+ Sundays,P+,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd & 4th Sundays,2024.0118
Plus Frames,SF6,GGST,MK1,Skullgirls,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
SLC Barfights,MK1,GGST,GBVSR,SF6,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Rumble SLC,Tekken,GGST,MK1,SF6,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Saturday Nights,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Wednesday Nights Casuals,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
FGC Paradise,SF6,MK1,Tekken,GGST,,,,,,,,,,,,,,,,,,,,,,,,3rd or 4th Sunday,2024.0118
The FGC @ Virginia Tech,GGST,SF6,BBCF,GBVSR,UMvC3,Tekken,UNI,,,,,,,,,,,,,,,,,,,,,"Usually Saturdays, sometimes Sundays. Open to anyone not just Students.",2024.0118
FGCville: Enter the Thunderdome,SF6,GGST,GBVSR,Others,,,,,,,,,,,,,,,,,,,,,,,,Games list rotates,2024.0118
Monday Melee,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
The Cave FGC Monthly,KOFXV,DBFZ,GGST,SF6,GBVSR,CvS2,Tekken,MK1,,,,,,,,,,,,,,,,,,,,,2024.0118
The Cave FGC Weekly,GGST,Tekken,SF6,KOFXV,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
King of the Ring,SF6,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,,,2nd Saturday,2024.0118
TOL Thursday Night Throwdown,SF6,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Rage Quit,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Fight Night Fridays,SF6,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,,,On break as of Jan 2024,2024.0118
Throwdown Thursday,SSBU,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Wipeout Wednesday,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,Only for ages 8-17!,2024.0118
DawnStar Clash,SF6,3S,Tekken,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
DawnStar Smash,SSBU,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
The King Returns,SF6,GGST,Tekken,GBVSR,Others,,,,,,,,,,,,,,,,,,,,,,,1st Saturday,2024.0118
The Answer Biweeklies,Tekken,SF6,GGST,GBVSR,Retro,Others,,,,,,,,,,,,,,,,,,,,,,2nd & 4th Wednesday,2024.0118
Monthly Mashers,P+,SSBU,Mystery,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Retro Collection Weeklies,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Ultimate Thursday,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Palouse Games,SF6,GGST,GBVSR,SamSho,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Seattle Skirmish,GGST,UNI,GBVSR,Others,,,,,,,,,,,,,,,,,,,,,,,,Spreadsheet for people bringing setups,2024.0118
NekoDojo,3S,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Wata Lily,VF5,SF6,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Salon Series,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd Saturday,2024.0118
Salon Weeklies MK,MK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Salon Weeklies SF,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,$175 prize pool,2024.0118
Salon Weeklies SF Casuals,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
The Salon,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
PNW Airdashers,GGST,GGXrd,GBVSR,UNI,BBCF,SF6,Tekken,DBFZ,MBTL,Others,,,,,,,,,,,,,,,,,,Contact for address,2024.0118
The Middle Ground,SSBU,SSBM,SF6,Tekken,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Defiant Fox Games,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Runback Brackets,SF6,GGST,Tekken,Others,,,,,,,,,,,,,,,,,,,,,,,,Tournament is every other meetup (so every 4 weeks),2024.0118
Runback Casuals,SF6,GGST,Tekken,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Final Strike,Tekken,SF6,GGST,GBVSR,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Run the Set,Tekken,SF6,GGST,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0211
Sunday Night Fights,GGST,SSBU,SF6,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,2024.0211
Thursday Throwdown,SSBU,GGST,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Pro League,SSBU,SF6,GGST,SSB64,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
